;CodigoProblema;DescricaoProblema
5031;6640;SAC - Resolução de demandas (ausência de resposta, excesso de prazo, não suspensão imediata da cobrança)
5032;4578;Erro na elaboração de formula/produto em desacordo com a formula receita
5033;3181;Contrato/pedido/orçamento (rescisão, descumprimento, erro, etc.)
5036;7222;Defeito/Risco à saúde e segurança
5051;7030;SAC - Qualidade do atendimento (atendente despreparado, problemas com a transferência da chamada, veiculação de mensagem publicitária)
5056;6408;Clonagem
5062;5236;Reajuste abusivo (preço, taxa, mensalidade, etc.)
5065;609;Publicidade enganosa
5073;6084;Antecipação de Financiamento
5098;7318;Defeito/Risco à saúde e segurança
5103;2886;Venda enganosa
5109;6942;SAC - Acesso ao serviço (onerosidade, problemas no menu, indisponibilidade, inacessibilidade aos deficientes)
5111;1638;Venda enganosa
5112;5480;Duvida sobre cobrança/valor/reajuste/contrato/orçamento.
5122;6963;SAC - Acesso ao serviço (onerosidade, problemas no menu, indisponibilidade, inacessibilidade aos deficientes)
5125;6985;SAC - Acesso ao serviço (onerosidade, problemas no menu, indisponibilidade, inacessibilidade aos deficientes)
5140;3188;Contrato/pedido/orçamento (rescisão, descumprimento, erro, etc.)
5160;5022;Serviço não concluído /Fornecimento parcial
5162;4848;Não cumprimento à oferta
5203;3446;Cobrança de valor quando o produto e devolvido (cobrança indevida)
5205;2907;Venda enganosa
5210;7227;Defeito/Risco à saúde e segurança
5217;6154;Não Entrega de Produto
5247;1539;Não pagamento de resgate (capitalização/ouro/compra)
5256;3698;Reajuste abusivo (preço, taxa, mensalidade, etc.)
5274;4081;Procedimento de cobrança violenta/difamatória
5299;3733;Garantia - Descumprimento, prazo
5307;5798;Contrato - Clausula abusiva/em desacordo com a Legislação.
5352;1790;Calculo do prêmio (seguros)
5355;6744;Portabilidade numérica
5362;5868;Não pagamento de indenização
5363;3878;Não pagamento de indenização
5377;5531;Publicidade abusiva.
5378;5529;Venda/Oferta/publicidade enganosa.
5387;6677;SAC - Cancelamento de serviço (retenção, demora, não envio do comprovante)
5388;6083;Antecipação de Financiamento
5389;1435;Valor de reajuste (mensalidade)
5406;5016;Serviço não concluído /Fornecimento parcial
5410;4076;Procedimento de cobrança violenta/difamatória
5423;4943;Vicio de qualidade (mal executado, inadequado, impróprio)
5435;3905;Rescisão/Substituição/Alteração de contrato de saúde
5442;3743;Cobrança indevida/abusiva
5451;1862;Discordância quanto as avarias
5453;2334;Garantia (Abrangência, cobertura, etc.)
5474;1910;Valor da multa
5482;3631;Serviço não fornecido (entrega/instalação/não cumprimento da oferta/contrato)
5495;1334;Fundo de reserva
5510;4760;Produto adulterado quanto a cor/odor/sabor/tamanho/aspecto
5511;5013;Serviço não concluído /Fornecimento parcial
5513;1144;Retirada de credito sem comunicação previa.
5525;5972;Descredenciamento
5529;1750;Não comunicação de negativacao
5545;7214;Defeito/Risco à saúde e segurança
5547;6837;SAC - Resolução de demandas (ausência de resposta, excesso de prazo, não suspensão imediata da cobrança)
5553;5324;Desistência do serviço (artigo 49 - descumprimento)
5554;6881;SAC - Cancelamento de serviço (retenção, demora, não envio do comprovante)
5556;6525;Tarifas Bancárias – Divulgação inadequada / não divulgação na agência ou no sítio da Internet.
5566;2788;Publicidade enganosa
5571;2870;Venda enganosa
5574;2040;Cobrança de taxa indevida (elaboração de contrato, aferição de idoneidade, etc.)
5591;1143;Retirada de credito sem comunicação previa.
5594;2923;Venda enganosa
5600;4970;Serviço não fornecido (entrega/instalação/não cumprimento da oferta/contrato)
5606;2871;Venda enganosa
5611;6475;CET – Não fornecimento de planilha de cálculo / Recusa de cálculo.
5616;7323;Defeito/Risco à saúde e segurança
5627;5744;Contrato - Rescisão/alteração unilateral
5634;5204;Orçamento - Não cumprido/não fornecido/impreciso/incompleto/serviço não solicitado
5641;2035;Não pagamento de indenização
5664;2648;Não entrega/demora na entrega do produto
5676;2014;Não pagamento de indenização
5687;3866;Consulta Sobre Serviços (Pesquisa, cartilha, endereços, outros)
5690;5479;Duvida sobre cobrança/valor/reajuste/contrato/orçamento.
5697;2741;Publicidade enganosa
5708;2545;Produto com vício
5713;3801;Documentos: não fornecimento (escolares, recibo, nota, fiscal, vaucher , etc.)
5717;2993;Falta de peca de reposição
5720;3840;Contrato - Rescisão/alteração unilateral
5723;5530;Venda/Oferta/publicidade enganosa.
5724;6240;Negativa de Cobertura
5730;5027;Serviço não concluído /Fornecimento parcial
5736;6653;SAC - Cancelamento de serviço (retenção, demora, não envio do comprovante)
5759;4500;Falta de assistência técnica/garantia
5761;6102;Antecipação de Financiamento
5765;3855;Contrato - Clausula abusiva/em desacordo com a Legislação.
5785;2982;Demora na montagem/montagem incompleta/incorreta
5792;2603;Produto entregue diferente do pedido
5827;3038;Falta de peca de reposição
5831;5282;Venda casada
5862;2256;Publicidade enganosa
5877;4431;Preço do produto/serviço
5902;3123;Desistência de compra (cancelamento de compra)
5906;4867;Não cumprimento à oferta
5917;1152;Retirada de credito sem comunicação previa.
5919;1385;Não entrega de quitação/retenção de documentos
5936;1076;Envio de produto ou serviço sem previa solicitação
5959;2311;Garantia (Abrangência, cobertura, etc.)
5964;3383;Compra de veiculo (multa, transferência, alienação, não entrega de documentação)
5966;2379;Manual de Instrução (em língua estrangeira/falta de informação/informação incorreta)
5977;3726;Garantia - Descumprimento, prazo
5980;7315;Defeito/Risco à saúde e segurança
5993;3799;Documentos: não fornecimento (escolares, recibo, nota, fiscal, vaucher , etc.)
5998;3691;Orçamento - Não cumprido/não fornecido/impreciso/incompleto/serviço não solicitado
6018;3642;Serviço não concluído /Fornecimento parcial
6024;3341;Produto causou danos materiais
6028;7167;Tarifa de Cartão de Crédito – Cobrança Indevida (anuidade, 2ª via, etc.)
6061;392;Presença de sujidades, larvas e objetos estranhos.
6062;5387;Cobrança indevida/abusiva
6067;4992;Serviço não fornecido (entrega/instalação/não cumprimento da oferta/contrato)
6068;2954;Demora na montagem/montagem incompleta/incorreta
6074;2872;Venda enganosa
6095;6838;SAC - Resolução de demandas (ausência de resposta, excesso de prazo, não suspensão imediata da cobrança)
6097;2802;Publicidade enganosa
6119;1848;Discordância na indenização (seguros em geral)
6124;5705;Roubo/furto
6125;3093;Produto entregue incompleto
6129;1670;Não entrega de copia do contrato
6130;6686;SAC - Acesso ao serviço (onerosidade, problemas no menu, indisponibilidade, inacessibilidade aos deficientes)
6142;6782;SAC - Acesso ao serviço (onerosidade, problemas no menu, indisponibilidade, inacessibilidade aos deficientes)
6159;4986;Serviço não fornecido (entrega/instalação/não cumprimento da oferta/contrato)
6183;6777;SAC - Acesso ao serviço (onerosidade, problemas no menu, indisponibilidade, inacessibilidade aos deficientes)
6208;3318;Produto causou danos materiais
6213;6152;Não Entrega de Produto
6233;4971;Serviço não fornecido (entrega/instalação/não cumprimento da oferta/contrato)
6246;5504;Venda/Oferta/publicidade enganosa.
6257;3211;Contrato/pedido/orçamento (rescisão, descumprimento, erro, etc.)
6259;6654;SAC - Cancelamento de serviço (retenção, demora, não envio do comprovante)
6271;6714;SAC - Acompanhamento de demandas (ausência de registro numérico, não envio do histórico/registro)
6290;2784;Publicidade enganosa
6322;2782;Publicidade enganosa
6342;7236;Defeito/Risco à saúde e segurança
6354;3196;Contrato/pedido/orçamento (rescisão, descumprimento, erro, etc.)
6364;2582;Produto entregue diferente do pedido
6366;7075;SAC - Resolução de demandas (ausência de resposta, excesso de prazo, não suspensão imediata da cobrança)
6391;5066;Dano material/pessoal decorrente do serviço
6414;6936;Crédito Consignado
6420;2575;Produto entregue diferente do pedido
6421;5295;Desistência do serviço (artigo 49 - descumprimento)
6430;5495;Venda/Oferta/publicidade enganosa.
6434;6869;SAC - Cancelamento de serviço (retenção, demora, não envio do comprovante)
6474;1194;Calculo de prestação/taxa de juros
6497;3896;Rescisão/Substituição/Alteração de contrato de saúde
6501;3064;Produto entregue incompleto
6502;1306;Desistência de consorcio
6511;5521;Venda/Oferta/publicidade enganosa.
6557;3129;Desistência de compra (cancelamento de compra)
6559;6719;SAC - Resolução de demandas (ausência de resposta, excesso de prazo, não suspensão imediata da cobrança)
6563;5607;Documentos: não fornecimento (escolares, recibo, nota, fiscal, vaucher , etc.)
6606;6808;SAC - Acompanhamento de demandas (ausência de registro numérico, não envio do histórico/registro)
6637;1066;Envio de produto ou serviço sem previa solicitação
6670;7242;Defeito/Risco à saúde e segurança
6694;2911;Venda enganosa
6697;5150;Recusa injustificada em prestar serviço
6723;2569;Produto entregue diferente do pedido
6750;1812;Não pagamento de indenização (seguros em geral)
6763;3179;Desistência de compra (cancelamento de compra)
6784;3215;Contrato/pedido/orçamento (rescisão, descumprimento, erro, etc.)
6785;5133;Recusa injustificada em prestar serviço
6791;5739;Contrato - Rescisão/alteração unilateral
6801;6945;SAC - Acesso ao serviço (onerosidade, problemas no menu, indisponibilidade, inacessibilidade aos deficientes)
6838;3501;Procedimento de cobrança violenta/difamatória
6846;2996;Falta de peca de reposição
6873;2167;Qualidade da construção (vícios, vazamentos, impermeabilização)
6881;4109;Venda enganosa
6894;2917;Venda enganosa
6907;2596;Produto entregue diferente do pedido
6914;7082;SAC - Resolução de demandas (ausência de resposta, excesso de prazo, não suspensão imediata da cobrança)
6930;1226;Calculo de prestação em atraso
6935;2778;Publicidade enganosa
6938;2793;Publicidade enganosa
6959;3716;Desistência do serviço (artigo 49 - descumprimento)
6980;4866;Não cumprimento à oferta
6991;3734;Garantia - Descumprimento, prazo
6995;6144;Não Entrega de Produto
7011;4152;Publicidade enganosa
7013;3198;Contrato/pedido/orçamento (rescisão, descumprimento, erro, etc.)
7022;1849;Discordância na indenização (seguros em geral)
7026;2775;Publicidade enganosa
7034;2715;Peso/volume/quantidade/tamanho
7042;6078;Lançamento Não Reconhecido na Fatura
7051;5813;Consulta Sobre Serviços (Pesquisa, cartilha, endereços, outros)
7066;3620;Vicio de qualidade (mal executado, inadequado, impróprio)
7096;644;Publicidade enganosa
7102;6922;Crédito Consignado
7120;3504;Procedimento de cobrança violenta/difamatória
7128;1647;Não entrega de copia do contrato
7133;5447;Cobrança abusiva mediante constrangimento, ameaça.
7164;3214;Contrato/pedido/orçamento (rescisão, descumprimento, erro, etc.)
7179;5527;Venda/Oferta/publicidade enganosa.
7218;4997;Serviço não fornecido (entrega/instalação/não cumprimento da oferta/contrato)
7219;3118;Desistência de compra (cancelamento de compra)
7224;149;Prazo de validade (falta, ilegível, etc.)
7228;3235;Contrato/pedido/orçamento (rescisão, descumprimento, erro, etc.)
7243;1550;Publicidade enganosa
7260;3004;Falta de peca de reposição
7292;2903;Venda enganosa
7302;1205;Calculo de antecipação de prestação
7307;5517;Venda/Oferta/publicidade enganosa.
7309;2898;Venda enganosa
7349;2897;Venda enganosa
7351;5307;Desistência do serviço (artigo 49 - descumprimento)
7353;1489;Não entrega do produto (titulo de capitalização, compra programada)
7355;2297;Não pagamento de indenização
7393;3907;Rescisão/Substituição/Alteração de contrato de saúde
7410;4857;Não cumprimento à oferta
7412;4432;Preço do produto/serviço
7415;1623;Venda enganosa
7422;3342;Produto causou danos materiais
7430;3675;Recusa injustificada em prestar serviço
7478;6576;SAC - Qualidade do atendimento (atendente despreparado, problemas com a transferência da chamada, veiculação de mensagem publicitária)
7498;3005;Falta de peca de reposição
7545;2669;Não entrega/demora na entrega do produto
7563;3484;Cobrança de valor quando o produto e devolvido (cobrança indevida)
7568;3897;Rescisão/Substituição/Alteração de contrato de saúde
7595;4977;Serviço não fornecido (entrega/instalação/não cumprimento da oferta/contrato)
7597;3220;Contrato/pedido/orçamento (rescisão, descumprimento, erro, etc.)
7609;5541;Publicidade abusiva.
7621;7034;SAC - Acompanhamento de demandas (ausência de registro numérico, não envio do histórico/registro)
7672;1719;Consumidor negativado indevidamente nos serviços de proteção ao credito
7675;6683;SAC - Acesso ao serviço (onerosidade, problemas no menu, indisponibilidade, inacessibilidade aos deficientes)
7682;4800;Produto danificado/enferrujado/inadequado/mal armazenado
7686;1280;Autorização de faturamento/entrega do bem/carta de credito (não entrega, atualização, valor menor)
7690;3110;Produto entregue incompleto
7695;1872;Discordância quanto as avarias
7731;4928;Vicio de qualidade (mal executado, inadequado, impróprio)
7742;2881;Venda enganosa
7753;4710;Irregularidade na rotulagem (falta de dados/dados ilegíveis ou incompletos)
7788;1045;Limitação de horário de pagamento
7816;5809;Consulta Sobre Serviços (Pesquisa, cartilha, endereços, outros)
7827;3600;Não pagamento de indenização
7841;3991;Problemas relativos a emissão/remessa de carnes/orçamentos
7849;6123;Transação Eletrônica Não Reconhecida
7865;4049;Descumprimento de garantia pelo convênio medico (guia)
7895;3226;Contrato/pedido/orçamento (rescisão, descumprimento, erro, etc.)
7899;2295;Não cumprimento do contrato/proposta
7910;1180;Calculo de prestação/taxa de juros
7923;6882;SAC - Cancelamento de serviço (retenção, demora, não envio do comprovante)
7944;5343;Garantia - Descumprimento, prazo
7948;1614;Venda casada
7960;3474;Cobrança de valor quando o produto e devolvido (cobrança indevida)
7977;2145;Taxa de manutenção/conservação
7984;3470;Cobrança de valor quando o produto e devolvido (cobrança indevida)
7998;6558;SAC - Acesso ao serviço (onerosidade, problemas no menu, indisponibilidade, inacessibilidade aos deficientes)
8001;4143;Publicidade enganosa
8018;5238;Reajuste abusivo (preço, taxa, mensalidade, etc.)
8025;3979;Problemas relativos a emissão/remessa de carnes/orçamentos
8030;6784;SAC - Qualidade do atendimento (atendente despreparado, problemas com a transferência da chamada, veiculação de mensagem publicitária)
8037;2851;Publicidade abusiva
8063;7267;Defeito/Risco à saúde e segurança
8073;12;Cobrança de taxa indevida (couvert, 10%, etc.)
8093;1379;Reajuste de saldo de caixa/diferença de prestação
8107;3863;Consulta Sobre Serviços (Pesquisa, cartilha, endereços, outros)
8133;3463;Cobrança de valor quando o produto e devolvido (cobrança indevida)
8156;1103;Contrato (não cumprimento, alteração, transferencia, irregularidade, rescisão, etc.)
8180;1135;Cobrança indevida.
8187;4248;Recusa/mau atendimento
8190;5131;Recusa injustificada em prestar serviço
8193;3460;Cobrança de valor quando o produto e devolvido (cobrança indevida)
8205;3101;Produto entregue incompleto
8209;6636;SAC - Resolução de demandas (ausência de resposta, excesso de prazo, não suspensão imediata da cobrança)
8211;6847;SAC - Resolução de demandas (ausência de resposta, excesso de prazo, não suspensão imediata da cobrança)
8220;3590;Não pagamento de indenização
8246;2249;Reajuste (aluguel/prestação)
8249;7239;Defeito/Risco à saúde e segurança
8274;5062;Dano material/pessoal decorrente do serviço
8283;1568;Publicidade enganosa
8297;3741;Cobrança indevida/abusiva
8311;5740;Contrato - Rescisão/alteração unilateral
8331;2419;Manual de Instrução (em língua estrangeira/falta de informação/informação incorreta)
8332;2660;Não entrega/demora na entrega do produto
8344;7261;Defeito/Risco à saúde e segurança
8392;1822;Não pagamento de indenização (seguros em geral)
8441;4969;Serviço não fornecido (entrega/instalação/não cumprimento da oferta/contrato)
8479;5586;Documentos: não fornecimento (escolares, recibo, nota, fiscal, vaucher , etc.)
8492;2560;Produto entregue diferente do pedido
8496;2642;Não entrega/demora na entrega do produto
8517;7308;Defeito/Risco à saúde e segurança
8539;5179;Orçamento - Não cumprido/não fornecido/impreciso/incompleto/serviço não solicitado
8564;1163;Retirada de credito sem comunicação previa.
8601;2990;Demora na montagem/montagem incompleta/incorreta
8640;1753;Não comunicação de negativacao
8642;4319;Danos pessoais ao consumidor
8649;2636;Não entrega/demora na entrega do produto
8660;1520;Não pagamento de resgate (capitalização/ouro/compra)
8666;6721;SAC - Resolução de demandas (ausência de resposta, excesso de prazo, não suspensão imediata da cobrança)
8697;1788;Calculo do prêmio (seguros)
8726;6125;Transação Eletrônica Não Reconhecida
8728;3430;Cobrança de valor quando o produto e devolvido (cobrança indevida)
8766;6952;SAC - Acesso ao serviço (onerosidade, problemas no menu, indisponibilidade, inacessibilidade aos deficientes)
8781;3597;Não pagamento de indenização
8783;2983;Demora na montagem/montagem incompleta/incorreta
8786;5334;Garantia - Descumprimento, prazo
8793;7173;Defeito/Risco à saúde e segurança
8803;1304;Desistência de consorcio
8819;2731;Peso/volume/quantidade/tamanho
8828;6638;SAC - Resolução de demandas (ausência de resposta, excesso de prazo, não suspensão imediata da cobrança)
8835;6805;SAC - Qualidade do atendimento (atendente despreparado, problemas com a transferência da chamada, veiculação de mensagem publicitária)
8852;5572;Documentos: não fornecimento (escolares, recibo, nota, fiscal, vaucher , etc.)
8881;6702;SAC - Qualidade do atendimento (atendente despreparado, problemas com a transferência da chamada, veiculação de mensagem publicitária)
8894;1129;Cobrança indevida.
8908;6609;SAC - Acompanhamento de demandas (ausência de registro numérico, não envio do histórico/registro)
8914;3178;Desistência de compra (cancelamento de compra)
8947;5845;Consulta Sobre Serviços (Pesquisa, cartilha, endereços, outros)
8966;4856;Não cumprimento à oferta
8972;2042;Cobrança de taxa indevida (elaboração de contrato, aferição de idoneidade, etc.)
8974;4428;Preço do produto/serviço
8991;3443;Cobrança de valor quando o produto e devolvido (cobrança indevida)
8994;2027;Não pagamento de indenização
8995;6818;SAC - Acompanhamento de demandas (ausência de registro numérico, não envio do histórico/registro)
9009;6030;PID - Pedido de Indenização por Danos Morais
9010;4946;Vicio de qualidade (mal executado, inadequado, impróprio)
9025;1636;Venda enganosa
9030;5519;Venda/Oferta/publicidade enganosa.
9031;4042;Reajuste por alteração de faixa etária (percentual elevado/sem previsão em contrato de percentual ou faixa etária)
9036;2900;Venda enganosa
9098;4137;Venda enganosa
9102;3904;Rescisão/Substituição/Alteração de contrato de saúde
9103;4140;Venda enganosa
9117;3184;Contrato/pedido/orçamento (rescisão, descumprimento, erro, etc.)
9152;5753;Contrato - Rescisão/alteração unilateral
9187;4942;Vicio de qualidade (mal executado, inadequado, impróprio)
9191;6184;Vício do Produto/Serviço
9205;5761;Contrato - Rescisão/alteração unilateral
9233;2919;Venda enganosa
9244;5107;Serviço em desacordo com norma/lei
9253;5879;Não pagamento de indenização
9274;5385;Cobrança indevida/abusiva
9276;5083;Serviço em desacordo com norma/lei
9348;2026;Não pagamento de indenização
9468;5198;Orçamento - Não cumprido/não fornecido/impreciso/incompleto/serviço não solicitado
9474;3232;Contrato/pedido/orçamento (rescisão, descumprimento, erro, etc.)
9516;5483;Duvida sobre cobrança/valor/reajuste/contrato/orçamento.
9522;3770;Venda/Oferta/publicidade enganosa.
9540;2901;Venda enganosa
9569;1572;Publicidade abusiva
9570;5069;Dano material/pessoal decorrente do serviço
9587;1309;Desistência de consorcio
9594;3753;Cobrança abusiva mediante constrangimento, ameaça.
9600;3346;Produto causou danos materiais
9622;3535;Procedimento de cobrança violenta/difamatória
9624;5042;Dano material/pessoal decorrente do serviço
9630;2217;Devolução de sinal, valores pagos (negocio não concretizado)
9638;3138;Desistência de compra (cancelamento de compra)
9670;107;Peso, volume e quantidade
9671;105;Peso, volume e quantidade
9674;34;Cobrança de taxa indevida (couvert, 10%, etc.)
9675;148;Prazo de validade (falta, ilegível, etc.)
9677;194;Prazo de validade (falta, ilegível, etc.)
9680;30;Cobrança de taxa indevida (couvert, 10%, etc.)
9681;203;Preço (abusivo, remarcado, falta, etc.)
9682;124;Peso, volume e quantidade
9684;217;Preço (abusivo, remarcado, falta, etc.)
9685;27;Cobrança de taxa indevida (couvert, 10%, etc.)
9687;109;Peso, volume e quantidade
9688;7126;SAC - Cancelamento de serviço (retenção, demora, não envio do comprovante)
9698;6976;SAC - Acesso ao serviço (onerosidade, problemas no menu, indisponibilidade, inacessibilidade aos deficientes)
9699;2880;Venda enganosa
9700;5070;Dano material/pessoal decorrente do serviço
9707;2902;Venda enganosa
9709;4923;Vicio de qualidade (mal executado, inadequado, impróprio)
9722;2556;Produto entregue diferente do pedido
9730;2189;Rescisão do contrato por inadimplência do consumidor
9741;4862;Não cumprimento à oferta
9768;3712;Venda casada
9805;438;Procedimento de cobrança violenta e difamatória.
9837;3218;Contrato/pedido/orçamento (rescisão, descumprimento, erro, etc.)
9855;4302;Danos pessoais ao consumidor
9856;5025;Serviço não concluído /Fornecimento parcial
9872;3371;Compra de veiculo (multa, transferência, alienação, não entrega de documentação)
9892;4125;Venda enganosa
9904;6772;SAC - Acesso ao serviço (onerosidade, problemas no menu, indisponibilidade, inacessibilidade aos deficientes)
9932;6318;TOI - Termo de Ocorrência de Irregularidade
9938;5349;Garantia - Descumprimento, prazo
9966;2713;Peso/volume/quantidade/tamanho
9967;5490;Venda/Oferta/publicidade enganosa.
9983;2740;Publicidade enganosa
9984;4930;Vicio de qualidade (mal executado, inadequado, impróprio)
10018;2531;Produto com vício
10021;7279;Defeito/Risco à saúde e segurança
10063;7122;SAC - Cancelamento de serviço (retenção, demora, não envio do comprovante)
10073;1772;Cobrança vexatória/difamatória
10076;6502;Tarifas Bancárias – Cobrança não autorizada.
10094;3488;Cobrança de valor quando o produto e devolvido (cobrança indevida)
10123;2889;Venda enganosa
10132;6754;Desbloqueio de aparelho
10135;260;Má prestação de serviço (recusa, mau atendimento, sonegação de mercadoria, venda casada, entrega diferente do pedido)
10136;134;Peso, volume e quantidade
10144;184;Prazo de validade (falta, ilegível, etc.)
10151;6051;Clonagem
10154;4845;Cobrança de multa acima do permitido pela legislação
10159;188;Prazo de validade (falta, ilegível, etc.)
10215;3092;Produto entregue incompleto
10244;3090;Produto entregue incompleto
10272;5500;Venda/Oferta/publicidade enganosa.
10273;2321;Garantia (Abrangência, cobertura, etc.)
10293;7125;SAC - Cancelamento de serviço (retenção, demora, não envio do comprovante)
10304;1316;Desistência de consorcio
10311;5302;Desistência do serviço (artigo 49 - descumprimento)
10328;5153;Recusa injustificada em prestar serviço
10332;2783;Publicidade enganosa
10398;6282;TOI - Termo de Ocorrência de Irregularidade
10402;1842;Discordância na indenização (seguros em geral)
10411;3877;Não pagamento de indenização
10412;4981;Serviço não fornecido (entrega/instalação/não cumprimento da oferta/contrato)
10437;4888;Não pagamento de indenização
10444;6841;SAC - Resolução de demandas (ausência de resposta, excesso de prazo, não suspensão imediata da cobrança)
10462;57;Cobrança de taxa indevida (couvert, 10%, etc.)
10507;1610;Venda casada
10512;5777;Contrato - Clausula abusiva/em desacordo com a Legislação.
10524;2286;Duvidas sobre cobranças (taxas, etc.)
10535;2092;Cobrança de despesas extraordinárias
10536;6964;SAC - Acesso ao serviço (onerosidade, problemas no menu, indisponibilidade, inacessibilidade aos deficientes)
10537;6958;SAC - Acesso ao serviço (onerosidade, problemas no menu, indisponibilidade, inacessibilidade aos deficientes)
10576;3509;Procedimento de cobrança violenta/difamatória
10586;3556;Não pagamento de indenização
10587;3653;Dano material/pessoal decorrente do serviço
10599;2792;Publicidade enganosa
10620;5422;Cobrança abusiva mediante constrangimento, ameaça.
10623;2931;Demora na montagem/montagem incompleta/incorreta
10634;5361;Garantia - Descumprimento, prazo
10663;1387;Não entrega de quitação/retenção de documentos
10674;3941;Outros problemas com contratos de saúde (Não cobertura, abrangência, reembolso)
10676;7097;SAC - Resolução de demandas (ausência de resposta, excesso de prazo, não suspensão imediata da cobrança)
10696;2934;Demora na montagem/montagem incompleta/incorreta
10743;5409;Cobrança abusiva mediante constrangimento, ameaça.
10803;195;Prazo de validade (falta, ilegível, etc.)
10804;6875;SAC - Cancelamento de serviço (retenção, demora, não envio do comprovante)
10851;5680;Extravio/avaria de bagagem, carga, correspondência, mercadoria, mudança, etc.
10856;5421;Cobrança abusiva mediante constrangimento, ameaça.
10889;5205;Orçamento - Não cumprido/não fornecido/impreciso/incompleto/serviço não solicitado
10891;193;Prazo de validade (falta, ilegível, etc.)
10903;5488;Duvida sobre cobrança/valor/reajuste/contrato/orçamento.
10972;6190;Vício do Produto/Serviço
11022;1102;Contrato (não cumprimento, alteração, transferencia, irregularidade, rescisão, etc.)
11037;3669;Serviço em desacordo com norma/lei
11078;1996;Cobrança de honorários advocaticios, despesa de cobrança
11167;1555;Publicidade enganosa
11187;5297;Desistência do serviço (artigo 49 - descumprimento)
11217;3480;Cobrança de valor quando o produto e devolvido (cobrança indevida)
11222;618;Publicidade enganosa
11313;1532;Não pagamento de resgate (capitalização/ouro/compra)
11330;32;Cobrança de taxa indevida (couvert, 10%, etc.)
11331;123;Peso, volume e quantidade
11332;28;Cobrança de taxa indevida (couvert, 10%, etc.)
11383;5164;Recusa injustificada em prestar serviço
11386;2054;Calculo de caução
11393;6817;SAC - Acompanhamento de demandas (ausência de registro numérico, não envio do histórico/registro)
11398;3320;Produto causou danos materiais
11410;6812;SAC - Acompanhamento de demandas (ausência de registro numérico, não envio do histórico/registro)
11412;7137;SAC - Cancelamento de serviço (retenção, demora, não envio do comprovante)
11415;5258;Venda casada
11423;2522;Produto com vício
11429;2319;Garantia (Abrangência, cobertura, etc.)
11459;116;Peso, volume e quantidade
11513;102;Peso, volume e quantidade
11520;115;Peso, volume e quantidade
11524;1774;Cobrança vexatória/difamatória
11540;5298;Desistência do serviço (artigo 49 - descumprimento)
11543;2570;Produto entregue diferente do pedido
11578;5773;Contrato - Clausula abusiva/em desacordo com a Legislação.
11581;2093;Cobrança de despesas extraordinárias
11586;2351;Garantia (Abrangência, cobertura, etc.)
11594;2323;Garantia (Abrangência, cobertura, etc.)
11600;144;Peso, volume e quantidade
11603;2561;Produto entregue diferente do pedido
11632;1595;Venda casada
11633;1819;Não pagamento de indenização (seguros em geral)
11644;7264;Defeito/Risco à saúde e segurança
11672;5393;Cobrança indevida/abusiva
11684;2997;Falta de peca de reposição
11741;2511;Produto com vício
11826;48;Cobrança de taxa indevida (couvert, 10%, etc.)
11911;4231;Recusa/mau atendimento
11921;287;Má prestação de serviço (recusa, mau atendimento, sonegação de mercadoria, venda casada, entrega diferente do pedido)
11971;2161;Não execução de obras de infra-estrutura e benfeitorias
11977;6206;Negativa de Cobertura
11984;3190;Contrato/pedido/orçamento (rescisão, descumprimento, erro, etc.)
12003;253;Má prestação de serviço (recusa, mau atendimento, sonegação de mercadoria, venda casada, entrega diferente do pedido)
12021;1488;Valor do bem
12035;3185;Contrato/pedido/orçamento (rescisão, descumprimento, erro, etc.)
12049;1837;Discordância na indenização (seguros em geral)
12057;1367;Reajuste de saldo de caixa/diferença de prestação
12095;2786;Publicidade enganosa
12128;3438;Cobrança de valor quando o produto e devolvido (cobrança indevida)
12201;4565;Medição irregular de pressão e peso/inalação (na rua, farmácia ou em outros estabelecimentos)
12205;4920;Vicio de qualidade (mal executado, inadequado, impróprio)
12250;4586;Erro na elaboração de formula/produto em desacordo com a formula receita
12413;7287;Acidente de Consumo (produto/serviço causou danos pessoais ao consumidor)
12415;5286;Desistência do serviço (artigo 49 - descumprimento)
12522;2618;Não entrega/demora na entrega do produto
12567;5463;Duvida sobre cobrança/valor/reajuste/contrato/orçamento.
12569;2764;Publicidade enganosa
12590;5476;Duvida sobre cobrança/valor/reajuste/contrato/orçamento.
12603;4215;Recusa/mau atendimento
12638;5436;Cobrança abusiva mediante constrangimento, ameaça.
12639;2236;Recusa no recebimento do aluguel/prestação
12650;6993;SAC - Qualidade do atendimento (atendente despreparado, problemas com a transferência da chamada, veiculação de mensagem publicitária)
12664;5518;Venda/Oferta/publicidade enganosa.
12668;5048;Dano material/pessoal decorrente do serviço
12722;154;Descumprimento de garantia pelo convênio medico (guia)
12764;2196;Rescisão do contrato pela não entrega do imóvel
12768;3928;Outros problemas com contratos de saúde (Não cobertura, abrangência, reembolso)
12790;5462;Duvida sobre cobrança/valor/reajuste/contrato/orçamento.
12792;3889;Cobrança de embalagem (sacolas)
12803;3668;Serviço em desacordo com norma/lei
12807;5308;Desistência do serviço (artigo 49 - descumprimento)
12837;5833;Consulta Sobre Serviços (Pesquisa, cartilha, endereços, outros)
13004;246;Preço (abusivo, remarcado, falta, etc.)
13056;7081;SAC - Resolução de demandas (ausência de resposta, excesso de prazo, não suspensão imediata da cobrança)
13060;2964;Demora na montagem/montagem incompleta/incorreta
