;strRazaoSocial;strNomeFantasia;NumeroCNPJ;RadicalCNPJ;CNAEPrincipal;DescCNAEPrincipal;RazaoSocialRFB;NomeFantasiaRFB;CodigoFornecedor
47092;SICOOB MAXICREDITO;SICOOB MAXICREDITO;78825270000129;78825270;6424704;COOPERATIVAS DE CRÉDITO RURAL;COOPERATIVA DE CREDITO MAXI ALFA DE LIVRE ADMISSAO DE ASSOCIADOS - SICOOB MAXICREDITO;SICOOB MAXICREDITO;10259
47096;KLITZKE & CIA  LTDA  EPP;KLITZKE & CIA  LTDA  EPP;05565475000149;05565475;2342702;FABRICAÇÃO DE ARTEFATOS DE CERÂMICA E BARRO COZIDO PARA USO NA CONSTRUÇÃO, EXCETO AZULEJOS E PISOS;KLITZKE & CIA LTDA ME;;10260
47097;IRMAOS KREYSSIG LTDA ME;IRMAOS KREYSSIG;82934159000148;82934159;2342702;FABRICAÇÃO DE ARTEFATOS DE CERÂMICA E BARRO COZIDO PARA USO NA CONSTRUÇÃO, EXCETO AZULEJOS E PISOS;IRMAOS KREYSSIG LTDA;;10261
47098;HIPERCARD ADMINISTRADORA DE CARTÕES CREDITO LTDA;HIPERCARD;35525989000212;35525989;;;;;10262
47114;ECOGAMES DISTRIBUIÇÃO DE SERVIÇOS S.A;ECOGAMES DISTRIBUIÇÃO DE SERVIÇOS S.A;13766602000104;13766602;4651601;COMÉRCIO ATACADISTA DE EQUIPAMENTOS DE INFORMÁTICA;ECOGAMES DISTRIBUICAO E SERVICOS LTDA;ECOGAMES DISTRIBUICAO E SERVICOS LTDA;10263
47128;CAROLINE FRANCHIN VIEIRA 38893562812;WWW.CONSERTODEESTEIRA.COM.BR;20415185000102;20415185;;;;;10264
47132;BELA SAUDE CORRETORA DE SEGUROS LTDA;BELA SAUDE CORRETORA DE SEGUROS LTDA;12980633000192;12980633;8219999;PREPARAÇÃO DE DOCUMENTOS E SERVIÇOS ESPECIALIZADOS DE APOIO ADMINISTRATIVO NÃO ESPECIFICADOS ANTERIORMENTE;ELIZABETH CRISTINA ANTUNES RAMOS - ME;;10265
47137;DUNAS AUTOMOVÉIS LTDA;DUNAS AUTOMOVÉIS LTDA;05925760000123;05925760;4511101;COMÉRCIO A VAREJO DE AUTOMÓVEIS, CAMIONETAS E UTILITÁRIOS NOVOS;DUNAS AUTOMOVEIS LTDA.;DUNAS;10266
47138;CEDASPY;CEDASPY;13241188000101;13241188;4761001;COMÉRCIO VAREJISTA DE LIVROS;SAO LUIS COMERCIO DE LIVROS E CURSOS LTDA;;10267
47142;CAPUCHE EMPREENDIMENTOS IMOBILIARIOS LTDA;CAPUCHE;70142278000189;70142278;4110700;INCORPORAÇÃO DE EMPREENDIMENTOS IMOBILIÁRIOS;CAPUCHE EMPREENDIMENTOS IMOBILIARIOS S/A;;10268
47143;COMPANHIA DE DESENVOLVIMENTO DE NOVA ODESSA;CODEN;48832398000159;48832398;3600601;CAPTAÇÃO, TRATAMENTO E DISTRIBUIÇÃO DE ÁGUA;COMPANHIA DE DESENVOLVIMENTO DE NOVA ODESSA;CODEN;10269
47163;ABIR COMERCIO DE ESQUADRIAS DE ALUMINIO LTDA - ME;ALUTUIA COMERCIO DE ESQUADRIAS DE ALUMINIO;05788485000143;05788485;2512800;FABRICAÇÃO DE ESQUADRIAS DE METAL;ALUTUIA COMERCIO DE ESQUADRIAS DE ALUMINIO LTDA;;10270
47167;TIM CELULAR S.A.;TIM CELULAR S.A.;04206050037343;04206050;;;;;10271
47168;VIA VAREJO S/A;VIA VAREJO S/A;33041260106310;33041260;4753900;COMÉRCIO VAREJISTA ESPECIALIZADO DE ELETRODOMÉSTICOS E EQUIPAMENTOS DE ÁUDIO E VÍDEO;VIA VAREJO S/A;;10272
47172;WMS SUPERMERCADOS DO BRASIL LTDA.;WAL MART;93209765000117;93209765;4711301;COMÉRCIO VAREJISTA DE MERCADORIAS EM GERAL, COM PREDOMINÂNCIA DE PRODUTOS ALIMENTÍCIOS - HIPERMERCADOS;WMS SUPERMERCADOS DO BRASIL LTDA.;;10273
47177;EVENDAS VENDAS DE IMOVEIS LTDA;EVENDAS VENDAS DE IMOVEIS LTDA;10331644000116;10331644;6810201;COMPRA E VENDA DE IMÓVEIS PRÓPRIOS;EVENDAS VENDAS DE IMOVEIS LTDA;;10274
47184;EDITORA CENTRAL DE CONCURSOS LTDA;EDITORA CENTRAL DE CONCURSOS LTDA;61632659000589;61632659;4761001;COMÉRCIO VAREJISTA DE LIVROS;EDITORA CENTRAL DE CONCURSOS LTDA;;10275
47188;AUTO E MOTO ESCOLA CINCO ESTRELAS LTDA ME;AUTO ESCOLA 5 ESTRELAS;05639214000126;05639214;8599601;FORMAÇÃO DE CONDUTORES;AUTO E MOTO ESCOLA CINCO ESTRELAS LTDA - ME;CINCO ESTRELAS;10276
47200;KOMFORT HOUSE SOFÁS LTDA;KOMFORT HOUSE;21579533001383;21579533;;;;;10277
47206;SAINT-GOBAIN DISTRIBUIÇÃO  BRASIL LTDA;TELHANORTE;03840986005084;03840986;4744005;COMÉRCIO VAREJISTA DE MATERIAIS DE CONSTRUÇÃO NÃO ESPECIFICADOS ANTERIORMENTE;SAINT-GOBAIN DISTRIBUICAO BRASIL LTDA;TELHANORTE;10278
47220;MY STORE;MY STORE;89237911020842;89237911;;;;;10279
47234;L C SOUZA DESIGN - ME;L A DESIGN E MARKETING;12343617000199;12343617;7312200;AGENCIAMENTO DE ESPAÇOS PARA PUBLICIDADE, EXCETO EM VEÍCULOS DE COMUNICAÇÃO;SANTOS E SOUZA DESIGN LTDA - ME;L A DESIGN E MARKETING;10280
47235;ESCOLA EDUCACIONAL FONSECA LTDA;ESCOLA MEU CAMINHO/PROFESSOR LUCIANO;73974362000157;73974362;8513900;ENSINO FUNDAMENTAL;ESCOLA EDUCACIONAL FONSECA LTDA - EPP;ESCOLA MEU CAMINHO/PROFESSOR LUCIANO;10281
47236;BANCO BRADESCO SA;BRADESCO AG CENTRAL EST UNIF;60746948000201;60746948;6422100;BANCOS MÚLTIPLOS, COM CARTEIRA COMERCIAL;BANCO BRADESCO SA;BRADESCO AG CENTRAL EST UNIF;10282
47239;VIA VAREJO S/A;CASAS BAHIA (FILIAL 1331);33041260108950;33041260;4753900;COMÉRCIO VAREJISTA ESPECIALIZADO DE ELETRODOMÉSTICOS E EQUIPAMENTOS DE ÁUDIO E VÍDEO;VIA VAREJO S/A;;10283
47258;EDITORA GLOBO S/A;EDITORA GLOBO;04067191000402;04067191;5811500;EDIÇÃO DE LIVROS;EDITORA GLOBO S/A;EDITORA GLOBO;10284
47266;ELIVEL AUTOMOTORES LTDA;CEAZA VEICULOS;54820774000511;54820774;4511101;COMÉRCIO A VAREJO DE AUTOMÓVEIS, CAMIONETAS E UTILITÁRIOS NOVOS;ELIVEL AUTOMOTORES LTDA;CEAZA VEICULOS;10285
47278;LA FONTAINE SÃO BENTO DO SUL;LA FONTAINE SÃO BENTO DO SUL;73712978000311;73712978;4511101;COMÉRCIO A VAREJO DE AUTOMÓVEIS, CAMIONETAS E UTILITÁRIOS NOVOS;LA FONTAINE COMERCIO DE VEICULOS LTDA;;10286
47281;ALUMIART FABRICAÇÃO DE ESQUADRIAS LTDA. ME;ALUMIART;21530132000103;21530132;;;;;10287
47285;SOCIEDADE DE ENSINO SUPERIOR ESTACIO DE SA LTDA;UNIVERSIDADE ESTACIO DE SA;34075739004414;34075739;8531700;EDUCAÇÃO SUPERIOR - GRADUAÇÃO;SOCIEDADE DE ENSINO SUPERIOR ESTACIO DE SA LTDA;UNIVERSIDADE ESTACIO DE SA;10288
47286;K2 INCORPORADORA LTDA;K2 INCORPORADORA LTDA;12780711000105;12780711;4110700;INCORPORAÇÃO DE EMPREENDIMENTOS IMOBILIÁRIOS;K2 INCORPORADORA LTDA;;10289
47293;MSA COMERCIAL DE MOVEIS - EIRELI - EPP;PELMEX COLCHÕES RECLINÁVEIS;03135361000133;03135361;4754702;COMÉRCIO VAREJISTA DE ARTIGOS DE COLCHOARIA;M S A COMERCIAL  DE MOVEIS LTDA - EPP;;10290
47295;HIPERCARD SOCIEDADE DE CREDITO FINANCIAMENTO E INVESTIMENTO S.A;HIPERCARD SOCIEDADE DE CREDITO FINANCIAMENTO E INVESTIMENTO S.A;33318163000176;33318163;6436100;SOCIEDADES DE CRÉDITO, FINANCIAMENTO E INVESTIMENTO - FINANCEIRAS;HIPERCARD SOCIEDADE DE CREDITO, FINANCIAMENTO E INVESTIMENTO S.A.;;10291
47316;ACL ENGENHARIA;ACL ENGENHARIA;18747513000126;18747513;4120400;CONSTRUÇÃO DE EDIFÍCIOS;AIRES & LIMA LTDA - ME;ACL ENGENHARIA;10292
47322;EMERSON X DA SILVA ME;M2;17267082000138;17267082;4754701;COMÉRCIO VAREJISTA DE MÓVEIS;EMERSON X DA SILVA - ME;M2 MOVEIS PROJETADOS;10293
47324;PRATICARD ADM. DE CARTOES DE CREDITO LTDA;PRATICARD ADM. DE CARTOES DE CREDITO LTDA;04838402000110;04838402;6613400;ADMINISTRAÇÃO DE CARTÕES DE CRÉDITO;PRATICARD ADMINISTRADORA DE CARTOES DE CREDITO LTDA.;PRATICARD;10294
47338;OFICINA DO DISJUNTOR- MATERIAIS ELETRICOS LTDA EPP;OFICINA DO DISJUNTOR- MATERIAIS ELETRICOS LTDA EPP;12927183000174;12927183;4742300;COMÉRCIO VAREJISTA DE MATERIAL ELÉTRICO;OFICINA DO DISJUNTOR - MATERIAIS ELETRICOS LTDA - EPP;;10295
47351;LUCAS NETWORK INF LTDA ME;LUCAS NETWORK INF LTDA ME;11028260000191;11028260;6110803;SERVIÇOS DE COMUNICAÇÃO MULTIMÍDIA - SCM;LUCAS NETWORK INFORMATICA LTDA - ME;LUCAS INTERNET;10296
47352;JOSELITO FRIGERI EPP;UNIVERSO RADIADORES E INTERCOOLER;07073685000145;07073685;4530703;COMÉRCIO A VAREJO DE PEÇAS E ACESSÓRIOS NOVOS PARA VEÍCULOS AUTOMOTORES;JOSELITO FRIGERI EPP;UNIVERSO RADIADORES E INTERCOOLER;10297
47353;BEM ESTAR ODONTOLOGIA S/S;BEM ESTAR ODONTOLOGIA;23325391000110;23325391;;;;;10298
47372;MANOS IMPORTADORA E EXPORTADORA LTDA;MANOS IMPORTADORA E EXPORTADORA LTDA;13047843000276;13047843;4530702;COMÉRCIO POR ATACADO DE PNEUMÁTICOS E CÂMARAS-DE-AR;MANOS IMPORTADORA E EXPORTADORA LTDA;;10299
47380;COMERCIAL M J PRAXEDES LTDA;COMERCIAL PRAXEDES;41006313000215;41006313;4754701;COMÉRCIO VAREJISTA DE MÓVEIS;COMERCIAL M J PRAXEDES LTDA - EPP;COMERCIAL PRAXEDES;10300
47381;SINGER;SINGER;54693148000188;54693148;6541300;PREVIDÊNCIA COMPLEMENTAR FECHADA;SINGER PREVIDENCIARIA;;10301
47385;RN INTERNET SERVIÇOS LTDA ME;RNNET;06053426000190;06053426;6190601;PROVEDORES DE ACESSO ÀS REDES DE COMUNICAÇÕES;RN INTERNET SERVICOS LTDA - ME;RN NET;10302
47402;BAVERA COMERCIO LTDA - ME;BAVERA / BAVERA.COM.BR;19576001000107;19576001;;;;;10303
47406;JFCAR CENTRO AUTOMOTIVO LTDA - ME;JF CAR CENTRO AUTOMOTIVO;19923391000144;19923391;;;;;10304
47407;MAIS PROTECAO - ASSOCIACAO BRASILEIRA DOS CONDUTORES E PROPRIETARIOS DE VEICULOS AUTOMOTORES TRANSPO;MAIS PROTEÇÃO - PROTEÇÃO VEICULAR;14399710000140;14399710;9411100;ATIVIDADES DE ORGANIZAÇÕES ASSOCIATIVAS PATRONAIS E EMPRESARIAIS;MAIS PROTECAO - ASSOCIACAO BRASILEIRA DOS CONDUTORES E PROPRIETARIOS DE VEICULOS AUTOMOTORES TRANSPORTADORES DE CARGA;MAIS PROTECAO;10305
47414;TELGO TELECOMUNICAÇÕES GOIÁS LTDA.;TURBOSEG;09262561000133;09262561;6110803;SERVIÇOS DE COMUNICAÇÃO MULTIMÍDIA - SCM;TELGO TELECOMUNICACOES GOIAS LTDA - EPP;TURBOSEG;10306
47426;DESIGNER BABY MOVEIS LTDA - ME;DESIGNER BABY;01792371000116;01792371;3101200;FABRICAÇÃO DE MÓVEIS COM PREDOMINÂNCIA DE MADEIRA;DESIGNER BABY MOVEIS LTDA - ME;DESIGNER BABY;10307
47464;NELSON VALDERRAMAS JUNIOR;NELSON VALDERRAMAS JUNIOR;05624591000191;05624591;7420003;LABORATÓRIOS FOTOGRÁFICOS;NELSON VALDERRAMAS JUNIOR - ME;;10308
47468;SANTA ROSA VEICULOS LTDA - ME;SANTA ROSA VEICULOS;04753957000160;04753957;4511102;COMÉRCIO A VAREJO DE AUTOMÓVEIS, CAMIONETAS E UTILITÁRIOS USADOS;SANTA ROSA VEICULOS LTDA ME;SANTA ROSA VEICULOS;10309
47476;METALÚRGICA ADEMAR DUÓ;METALÚRGICA ADEMAR DUÓ;17316892000137;17316892;4744005;COMÉRCIO VAREJISTA DE MATERIAIS DE CONSTRUÇÃO NÃO ESPECIFICADOS ANTERIORMENTE;ADEMAR DUO DA SILVA VAREJISTA - ME;METALURGICA ADEMAR DUO;10310
47484;FACELL COMERCIO DE CELULARES LTDA;FACELL;07366109000609;07366109;4752100;COMÉRCIO VAREJISTA ESPECIALIZADO DE EQUIPAMENTOS DE TELEFONIA E COMUNICAÇÃO;FACELL COMERCIO DE CELULARES LTDA;;10311
47488;AMERICA VEICULOS LTDA;AMERICA VEICULOS;05054878001103;05054878;4511101;COMÉRCIO A VAREJO DE AUTOMÓVEIS, CAMIONETAS E UTILITÁRIOS NOVOS;AMERICA VEICULOS LTDA;;10312
47493;CAPITAL IMPORTS COMERCIO DE PECAS NOVAS E USADAS L;CAPITAL IMPORTS;10759529000147;10759529;4530704;COMÉRCIO A VAREJO DE PEÇAS E ACESSÓRIOS USADOS PARA VEÍCULOS AUTOMOTORES;CAPITAL IMPORTS COMERCIO DE PECAS NOVAS E USADAS LTDA;CAPITAL IMPORTS;10313
47501;CONCHITA CONSTRUTORA E INCORPORADORA LTDA - EPP;CONCHITA NEGOCIOS IMOBILIARIOS;15813410000129;15813410;4120400;CONSTRUÇÃO DE EDIFÍCIOS;COMCHITA CONSTRUTORA E INCORPORADORA LTDA EPP;COMCHITA;10314
47513;SPE LAGO DE CALDAS EMPREEN. E PARTICIPAÇÕES LTDA;LAGUNA RESORT;13539467000156;13539467;6612605;AGENTES DE INVESTIMENTOS EM APLICAÇÕES FINANCEIRAS;SPE LAGO DE CALDAS EMPREENDIMENTOS E PARTICIPACOES S/A;;10315
47517;ATACADAO DOS ELETRODOMESTICOS DO NORDESTE LTDA;ATACADO DOS ELETROS;70120662005816;70120662;4753900;COMÉRCIO VAREJISTA ESPECIALIZADO DE ELETRODOMÉSTICOS E EQUIPAMENTOS DE ÁUDIO E VÍDEO;ATACADAO DOS ELETRODOMESTICOS DO NORDESTE LTDA;ATACADO DOS ELETROS;10316
47539;ASSOCIACAO ITAQUERENSE DE ENSINO;UNIV CAMILO CASTELO BRANCO/UNICASTELO;63054266000137;63054266;8531700;EDUCAÇÃO SUPERIOR - GRADUAÇÃO;ASSOCIACAO ITAQUERENSE DE ENSINO;;10317
47545;J. P. DE SOUZA TELECOMUNICACOES - EPP;CAMPNET SANTO ANDRÉ;12135517000410;12135517;4752100;COMÉRCIO VAREJISTA ESPECIALIZADO DE EQUIPAMENTOS DE TELEFONIA E COMUNICAÇÃO;J. P. DE SOUZA TELECOMUNICACOES - EPP;PROVEDORA VIA NET;10318
47547;CONEXCELL CELULARES;CONEXCELL CELULARES;12710013000133;12710013;4789099;COMÉRCIO VAREJISTA DE OUTROS PRODUTOS NÃO ESPECIFICADOS ANTERIORMENTE;UELMON DE ANDRADE FALCAO FILHO - ME;PONTO X CELULARES;10319
47575;FOTO STUDIO J.F. LTDA - M;CLICK COLOR KODAK EXPRESS;13313413000178;13313413;4753900;COMÉRCIO VAREJISTA ESPECIALIZADO DE ELETRODOMÉSTICOS E EQUIPAMENTOS DE ÁUDIO E VÍDEO;FOTO STUDIO J.F. LTDA - ME;CLICK COLOR KODAK EXPRESS;10320
47580;PEDRO DA COSTA OLIVEIRA;REDE LAR;11232344000142;11232344;4754701;COMÉRCIO VAREJISTA DE MÓVEIS;PEDRO DA COSTA OLIVEIRA;REDE LAR;10321
47587;CAIXA ECONOMICA FEDERAL;CAIXA ECONOMICA AGÊNCIA 0012-4 ANHANGUERA;00360305001267;00360305;6423900;CAIXAS ECONÔMICAS;CAIXA ECONOMICA FEDERAL;AGENCIA ANHANGUERA GO;10322
47589;MRV PRIME PROJETO GOIAS B INCORPORACOES SPE LTDA;MRV PRIME PROJETO GOIAS B INCORPORACOES SPE LTDA;23344689000177;23344689;;;;;10323
47593;CONSULTLIST LISTAS;CONSULTLIST LISTAS;05120135000104;05120135;8299799;OUTRAS ATIVIDADES DE SERVIÇOS PRESTADOS PRINCIPALMENTE ÀS EMPRESAS NÃO ESPECIFICADAS ANTERIORMENTE;CONSULTLIST EDITORA DE LISTAS TELEFONICAS REGIONAIS DO BRASIL LTDA. EPP;;10324
47603;CENTRO DE EDUCACAO E CULTURA METROPOLITANO JUNIOR;ESCOLA METROPOLITANO JUNIOR;08865140000134;08865140;8513900;ENSINO FUNDAMENTAL;CENTRO DE EDUCACAO E CULTURA METROPOLITANO JUNIOR LTDA - ME;ESCOLA METROPOLITANO JUNIOR;10325
47605;SUPERMERCADO PRÁTICO LOJA 5;SUPERMERCADO PRATIKO;22250951000151;22250951;;;;;10326
47615;EPOCA EMPREENDIMENTOS E IMOVEIS LTDA - ME;EPOCA EMPREENDIMENTOS;26948711000186;26948711;6822600;GESTÃO E ADMINISTRAÇÃO DA PROPRIEDADE IMOBILIÁRIA;EPOCA EMPREENDIMENTOS E IMOVEIS LTDA - ME;EPOCA EMPREENDIMENTOS;10327
47616;BROOKFIELD CERRADO EMPREENDIMENTOS IMOBILIARIOS S.;BROOKFIELD CERRADO EMPREENDIMENTOS IMOBILIARIOS S.;09241384000109;09241384;4120400;CONSTRUÇÃO DE EDIFÍCIOS;BROOKFIELD CERRADO EMPREENDIMENTOS IMOBILIARIOS S.A.;;10328
47617;WHIRLPOOL S.A;UNIDADE DE ELETRODOMESTICOS;59105999003959;59105999;2751100;FABRICAÇÃO DE FOGÕES, REFRIGERADORES E MÁQUINAS DE LAVAR E SECAR PARA USO DOMÉSTICO, PEÇAS E ACESSÓRIOS;WHIRLPOOL S.A;UNIDADE DE ELETRODOMESTICOS;10329
47624;SPE EMPREENDIMENTO MARISTA 135 LTDA;SPE MARISTA 135;13557428000181;13557428;4120400;CONSTRUÇÃO DE EDIFÍCIOS;SPE EMPREENDIMENTO MARISTA 135 LTDA;SPE MARISTA 135;10330
47625;OPUS INCORPORADORA LTDA;OPUS INCORPORADORA LTDA;05437233000170;05437233;4110700;INCORPORAÇÃO DE EMPREENDIMENTOS IMOBILIÁRIOS;OPUS INCORPORADORA LTDA;;10331
47634;RR FORTE-ME;ORTOBOM;08213731000127;08213731;4754702;COMÉRCIO VAREJISTA DE ARTIGOS DE COLCHOARIA;R R FORTE - ME;ORTOBOM;10332
47649;ASSOCIACAO DOS FUNCIONARIOS PUBLICOS PAULISTA AFUP;AFUP;12667915000134;12667915;9430800;ATIVIDADES DE ASSOCIAÇÕES DE DEFESA DE DIREITOS SOCIAIS;ASSOCIACAO DOS FUNCIONARIOS PUBLICOS PAULISTA - AFUP;AFUP;10333
47657;ATIVE NATURALLE EQUIPAMENTOS FISIOTERAPICOS EIRELI;ATIVE NATURALLE;22454513000105;22454513;;;;;10334
47658;J.R ADEGA e DISTRIBUIDORA DE BEBIDAS EIRELI - EPP;J R ADEGA;23712662000190;23712662;;;;;10335
47680;LB MOTORS LTDA - ME;LB MOTORS;26366098000199;26366098;;;;;10336
47681;BMW DO BRASIL LTDA;BMW DO BRASIL LTDA;00882430001156;00882430;;;;;10337
47682;PRADA BRASIL IMPORT. E COMER. DE ARTIG.LUXO LTDA;PRADA BRAZIL;13633271000126;13633271;4781400;COMÉRCIO VAREJISTA DE ARTIGOS DO VESTUÁRIO E ACESSÓRIOS;PRADA BRASIL IMPORTACAO E COMERCIO DE ARTIGOS DE LUXO LTDA.;PRADA BRAZIL;10338
47683;FARFETCH.COM BRASIL SERVICOS LTDA;FARFETCH.COM BRASIL SERVICOS LTDA;11844299000187;11844299;6319400;PORTAIS, PROVEDORES DE CONTEÚDO E OUTROS SERVIÇOS DE INFORMAÇÃO NA INTERNET;FARFETCH.COM BRASIL SERVICOS LTDA;;10339
47690;BANCO ITAU S/A;AGÊNCIA 4347;60701190199342;60701190;6422100;BANCOS MÚLTIPLOS, COM CARTEIRA COMERCIAL;ITAU UNIBANCO S.A.;;10340
47692;ODONTO CENTER CLINICA LTDA;ODONTO CENTER;02937829000140;02937829;8690901;ATIVIDADES DE PRÁTICAS INTEGRATIVAS E COMPLEMENTARES EM SAÚDE HUMANA;ODONTO CENTER CLINICA LTDA - ME;ODONTO CENTER;10341
47696;UNIRN;UNIRN;08340515000304;08340515;8531700;EDUCAÇÃO SUPERIOR - GRADUAÇÃO;LIGA DE ENSINO DO RIO GRANDE DO NORTE;UNI-RN;10342
47697;MOVIMENTO DE AP. E SOC. AO CONS.E INC. DO BRASIL;MAISBR;22674041000104;22674041;;;;;10343
47698;ASSOCIACAO DE BENEFICIOS E SOLUCOES DE INCLUSAO MU;CLUBE SIM;15572636000185;15572636;9499500;ATIVIDADES ASSOCIATIVAS NÃO ESPECIFICADAS ANTERIORMENTE;ASSOCIACAO DE BENEFICIOS SOCIAIS DO BRASIL - NOSSA;NOSSA ASSOCIACAO;10344
47701;COOPERATIVA CENTRAL DE CREDITO DE GOIAS LTDA;SICOOB GOIAS CENTRAL;33416108000119;33416108;6424702;COOPERATIVAS CENTRAIS DE CRÉDITO;COOPERATIVA CENTRAL DE CREDITO DE GOIAS LTDA;SICOOB GOIAS CENTRAL;10345
47720;FUJIOKA ELETRO IMAGEM S.A;FUJIOKA;01008713000830;01008713;4789008;COMÉRCIO VAREJISTA DE ARTIGOS FOTOGRÁFICOS E PARA FILMAGEM;FUJIOKA ELETRO IMAGEM S.A;FUJIOKA;10346
47727;SAGA MUNIQUE COMERCIO DE VEICULOS, PECAS E SERVICO;SAGA;20374616000130;20374616;;;;;10347
47728;RN  COMERCIO VAREJISTA S.A.;RN  COMERCIO VAREJISTA S.A.;13481309043401;13481309;;;;;10348
47741;CENTRO DE FORMACAO DE CONDUTORES ''B'' SUL AMERICA III LTDA;AUTO ESCOLA GUIA-ME;08819411000115;08819411;8599601;FORMAÇÃO DE CONDUTORES;CENTRO DE FORMACAO DE CONDUTORES B SUL AMERICA III  - ME;C F C 'B' SUL AMERICA III;10349
47743;BANCO DO BRASIL SA;AGÊNCIA 3648-0 - AV T63 NOVA SUIÇA;00000000396249;00000000;6421200;BANCOS COMERCIAIS;BANCO DO BRASIL SA;AVENIDA T 63 GOIANIA GO;10350
47744;NOVO MUNDO MOVEIS E UTILIDADES LTDA;NOVO MUNDO;01534080015400;01534080;4753900;COMÉRCIO VAREJISTA ESPECIALIZADO DE ELETRODOMÉSTICOS E EQUIPAMENTOS DE ÁUDIO E VÍDEO;NOVO MUNDO MOVEIS E UTILIDADES LTDA;NOVO MUNDO;10351
47746;MÓVEIS BP LTDA;MÓVEIS BOM PASTOR;01610917000170;01610917;3101200;FABRICAÇÃO DE MÓVEIS COM PREDOMINÂNCIA DE MADEIRA;MOVEIS B P LTDA;MOVEIS BOM PASTOR;10352
47747;ELETROSOM S/A;REDE ELETROSOM;22164990007734;22164990;4753900;COMÉRCIO VAREJISTA ESPECIALIZADO DE ELETRODOMÉSTICOS E EQUIPAMENTOS DE ÁUDIO E VÍDEO;ELETROSOM S/A;REDE ELETROSOM;10353
47748;COMERCIO, INDUSTRIA E TRANSPORTE LOPAS S/A;LOPAS MÓVEIS - MATRIZ;21473590000140;21473590;3101200;FABRICAÇÃO DE MÓVEIS COM PREDOMINÂNCIA DE MADEIRA;COMERCIO, INDUSTRIA E TRANSPORTE LOPAS S/A;;10354
47754;ANDRE RAFAEL BORGES COLMAN GALEGO;MILENIO HOST BRASIL (INTERNACIONAL);22324145000180;22324145;;;;;10355
47764;DANILO NUNES DA SILVA 03795075106;D CASA ESTOFADOS;19780795000126;19780795;;;;;10356
47766;S T B STUDENT TRAVEL BUREAU-VIAG.E TURISMO LTDA;S T B STUDENT TRAVEL BUREAU-VIAG.E TURISMO LTDA;43483122000199;43483122;7911200;AGÊNCIAS DE VIAGENS;S T B STUDENT TRAVEL BUREAU -VIAGENS E TURISMO LTDA;;10357
47767;EDUCATION TRAVEL AGENC.DE VIAGENS E TURISMO-EIRELI;EDUCATION TRAVEL AGENC.DE VIAGENS E TURISMO-EIRELI;27360363000194;27360363;;;;;10358
47769;LOSANGO FINANCEIRA;LOSANGO FINANCEIRA;33254319002227;33254319;;;;;10359
47783;EDEGA AMERICA LATINA SERVICOS DE ADMINISTRACAO LTDA;SNG BRASIL;13536626000169;13536626;8211300;SERVIÇOS COMBINADOS DE ESCRITÓRIO E APOIO ADMINISTRATIVO;EDEGA AMERICA LATINA SERVICOS DE ADMINISTRACAO LTDA.;;10360
47785;PARANÁ JUNIOR MATERIAIS PARA CONSTRUÇÃO LTDA. - ME;PRIMAVERA - MATERIAIS PARA CONSTRUÇÃO;05372267000123;05372267;4744005;COMÉRCIO VAREJISTA DE MATERIAIS DE CONSTRUÇÃO NÃO ESPECIFICADOS ANTERIORMENTE;PARANA JUNIOR MATERIAIS PARA CONSTRUCAO LTDA -ME;;10361
47787;FERNANDA MARTINS NAPOLITANO MOVEIS E ELETROS ME;RHIAD MOVEIS;14550910000152;14550910;4754701;COMÉRCIO VAREJISTA DE MÓVEIS;FERNANDA MARTINS NAPOLITANO - MOVEIS E ELETROS - ME;RHIAD MOVEIS;10362
47797;MMP CONSULTORIA E PARTICIPACOES LTDA - ME;INSTITUTO DE EDUCAÇÃO CASTILLO MENDES;10402227000117;10402227;8533300;EDUCAÇÃO SUPERIOR - PÓS-GRADUAÇÃO E EXTENSÃO;MMP - CONSULTORIA E PARTICIPACOES LTDA;INSTITUTO DE EDUCACAO - CASTILLO MENDES;10363
47800;ESTRELA DISTRIBUIDORA DE ELETRODOMESTICOS LTDA;MOVEIS ESTRELA;05888347000560;05888347;4754701;COMÉRCIO VAREJISTA DE MÓVEIS;ESTRELA DISTRIBUIDORA DE ELETRODOMESTICOS LTDA;A CREDILAR;10364
47803;PAN AMERICANO;PAN AMERICANO;01088006000206;01088006;7020400;ATIVIDADES DE CONSULTORIA EM GESTÃO EMPRESARIAL, EXCETO CONSULTORIA TÉCNICA ESPECÍFICA;PROQUALITY ASSESSORIA ADMINISTRATIVA E DE CREDITO COBRANCA LTDA - ME;PROQUALITY;10365
47806;CALOI NORTE S/A;CALOI NORTE S/A;04301024000727;04301024;;;;;10366
47810;P.O. DOS SANTOS ELETRODOMESTICOS - ME;ELETROFRIOS;02625701000141;02625701;4754701;COMÉRCIO VAREJISTA DE MÓVEIS;P. O. DOS SANTOS ELETRODOMESTICOS - ME;ELETROFRIOS;10367
47818;MAGAZINE LUIZA S.A;MAGANIZE LUIZA;47960950027674;47960950;4713001;LOJAS DE DEPARTAMENTOS OU MAGAZINES;MAGAZINE LUIZA S/A;MAGAZINE LUIZA;10368
47827;K.T. DE MORAIS BEZERRA - ME;MARMOREAL MARMORES E GRANITOS;07060710000156;07060710;2391503;APARELHAMENTO DE PLACAS E EXECUÇÃO DE TRABALHOS EM MÁRMORE, GRANITO, ARDÓSIA E OUTRAS PEDRAS;K. T. DE MORAIS BEZERRA ME;MARMOREAL MARMORES E GRANITOS;10369
